Study,in WoS search?,Research question,Language,Condition,Type of materials,Fiction/nonfiction,Nwords/trial,Ntrials,Time (mins),Reading rate (wpm),Wordlength,N parts,Participants,Comprehension questions?,Test used,Other info,Weighted sum
Aberson & Bouwhuis (1997),N,effects of age and visual acuity,Dutch,"36-75 years old, normal acuity",short stories,fiction,534,12,,305,,40,General population with higher education,Yes,,,12200
Acklin & Papesh (2017),Y,Reading tablet v book,English,static reading,encyclopedia texts,nonfiction,500,12,,221,5.0,41,College undergraduates,Yes,,,9061
"Altaribba et al. (1996, Exp 1)",N,Comparison English Spanish,Spanish,passages,passages from a teacher's manual,unclear,,1,2,348,,32,University students,Yes,,,11136
Ambrosino et al. (1974),N,Reading rate in medical students,English,all,expository texts,nonfiction,,1,1,378,4.4,268,College undergraduates,Yes,"Nelson-Denny, Form A",,101304
Arnell et al. (2009),N,Reading ability,English,all,text passages,nonfiction,,1,1,227,,64,College undergraduates,Yes,"Nelson-Denny, Form D",,14528
Ashby et al. (2012),Y,Effect perceptual span,English,"3 word window, silent reading",sentences,unclear,11.2,80,,278,4.8,24,College undergraduates,Yes,,,6672
"Baddeley et al. (1985, Exp 1)",N,Components of fluent reading,English,all,expository texts,nonfiction,,1,1,338,,51,Members of the unit,Yes,Nelson-Denny,,17238
"Baddeley et al. (1985, Exp 2)",N,Components of fluent reading,English,all,expository texts,nonfiction,,1,1,234,,107,Members of the unit,Yes,Nelson-Denny,,25038
Baker (2005),N,Effect of lay-out,English,all,short story,fiction,2191,1,,246,,66,College undergraduates,Yes,,,16236
"Ball & Hourcade (2011, Exp 1)",N,Effect age,English,younger adults,Wikipedia articles,nonfiction,383,4,,161,,12,College undergraduates,Yes,,,1932
"Ball & Hourcade (2011, Exp 2)",N,Effect age,English,"younger adults, long articles",articles Scientific American,nonfiction,634,2.5,,157,,24,College undergraduates,Yes,,,3768
Bassin & Martin (1976),Y,Effect of text shortening,English,original text,news article,nonfiction,2217,1,,208,,20,College undergraduates,Yes,,,4160
Bear & Imus (1938),N,Increase in reading rate during first year of university,English,beginning of the year,expository text,nonfiction,,1,2,256,,383,College undergraduates,Yes,Iowa Silent Reading Test,,98048
Bell & Perfetti (1994),N,Reading skill,English,skilled readers,science & history,nonfiction,2000,6,,170,,10,College undergraduates,Yes,,Same group of participants for both text types,1700
Bell & Perfetti (1994),N,Reading skill,English,skilled readers,fiction,fiction,2000,6,,219,,10,College undergraduates,Yes,,Same group of participants for both text types,2190
Bell et al. (2012),N,Normal reading performance,English,all,text passages,nonfiction,,1,1,202,,161,College undergraduates,Yes,"Nelson-Denny, Form G",,32522
Bellows & Rush (1952),N,Reading training,English,before training,text passages,nonfiction,,1,1,277,4.4,71,Business executives,Yes,"Nelson-Denny, Form A",,19667
Benedetto et al. (2014),N,Effect of luminance,French,high luminance,novel chapters,fiction,,1,60,266,,24,?,Yes,,,6384
Benedetto et al. (2015),N,Static reading vs. RSVP,French,static reading,novel chapter,fiction,6160,1,30,200,,30,?,Yes,,,6000
Benevides & Peterson (2010),N,Reading skills future teachers,English,all,text passages,nonfiction,,1,1,242,,227,College undergraduates,Yes,"Nelson-Denny, Form G and H",,54934
Benton et al. (1984),N,Good vs poor readers,English,university students,text passages,nonfiction,,1,1,259,4.4,33,College undergraduates,Yes,Nelson-Denny,,8547
Berger (1966),N,Speed reading practice,English,pretest,test of history,nonfiction,3000,1,,230,,222,University students,Yes,,,51060
Birkmire (1986),N,Effect of purpose on reading,English,first reading,expository texts,nonfiction,?,3,?,230,,90,College undergraduates,Yes,,,20700
