,Study,in WoS search?,Research question,Language,Condition,Type of materials,Fiction/nonfiction,Nwords/trial,Ntrials,Time (mins),Reading rate (wpm),Wordlength,N parts,Participants,Comprehension questions?,Test used,Other info,Weighted sum
0,Aberson & Bouwhuis (1997),N,effects of age and visual acuity,Dutch,"36-75 years old, normal acuity",short stories,fiction,534,12,,305.0,,40,General population with higher education,Yes,,,12200.0
1,Acklin & Papesh (2017),Y,Reading tablet v book,English,static reading,encyclopedia texts,nonfiction,500,12,,221.0,5.0,41,College undergraduates,Yes,,,9061.0
2,"Altaribba et al. (1996, Exp 1)",N,Comparison English Spanish,Spanish,passages,passages from a teacher's manual,unclear,,1,2,348.0,,32,University students,Yes,,,11136.0
3,Ambrosino et al. (1974),N,Reading rate in medical students,English,all,expository texts,nonfiction,,1,1,378.0,4.4,268,College undergraduates,Yes,"Nelson-Denny, Form A",,101304.0
4,Arnell et al. (2009),N,Reading ability,English,all,text passages,nonfiction,,1,1,227.0,,64,College undergraduates,Yes,"Nelson-Denny, Form D",,14528.0
5,Ashby et al. (2012),Y,Effect perceptual span,English,"3 word window, silent reading",sentences,unclear,11.2,80,,278.0,4.8,24,College undergraduates,Yes,,,6672.0
6,"Baddeley et al. (1985, Exp 1)",N,Components of fluent reading,English,all,expository texts,nonfiction,,1,1,338.0,,51,Members of the unit,Yes,Nelson-Denny,,17238.0
7,"Baddeley et al. (1985, Exp 2)",N,Components of fluent reading,English,all,expository texts,nonfiction,,1,1,234.0,,107,Members of the unit,Yes,Nelson-Denny,,25038.0
8,Baker (2005),N,Effect of lay-out,English,all,short story,fiction,2191,1,,246.0,,66,College undergraduates,Yes,,,16236.0
9,"Ball & Hourcade (2011, Exp 1)",N,Effect age,English,younger adults,Wikipedia articles,nonfiction,383,4,,161.0,,12,College undergraduates,Yes,,,1932.0
10,"Ball & Hourcade (2011, Exp 2)",N,Effect age,English,"younger adults, long articles",articles Scientific American,nonfiction,634,2.5,,157.0,,24,College undergraduates,Yes,,,3768.0
11,Bassin & Martin (1976),Y,Effect of text shortening,English,original text,news article,nonfiction,2217,1,,208.0,,20,College undergraduates,Yes,,,4160.0
12,Bear & Imus (1938),N,Increase in reading rate during first year of university,English,beginning of the year,expository text,nonfiction,,1,2,256.0,,383,College undergraduates,Yes,Iowa Silent Reading Test,,98048.0
13,Bell & Perfetti (1994),N,Reading skill,English,skilled readers,science & history,nonfiction,2000,6,,170.0,,10,College undergraduates,Yes,,Same group of participants for both text types,1700.0
14,Bell & Perfetti (1994),N,Reading skill,English,skilled readers,fiction,fiction,2000,6,,219.0,,10,College undergraduates,Yes,,Same group of participants for both text types,2190.0
15,Bell et al. (2012),N,Normal reading performance,English,all,text passages,nonfiction,,1,1,202.0,,161,College undergraduates,Yes,"Nelson-Denny, Form G",,32522.0
16,Bellows & Rush (1952),N,Reading training,English,before training,text passages,nonfiction,,1,1,277.0,4.4,71,Business executives,Yes,"Nelson-Denny, Form A",,19667.0
17,Benedetto et al. (2014),N,Effect of luminance,French,high luminance,novel chapters,fiction,,1,60,266.0,,24,?,Yes,,,6384.0
18,Benedetto et al. (2015),N,Static reading vs. RSVP,French,static reading,novel chapter,fiction,6160,1,30,200.0,,30,?,Yes,,,6000.0
19,Benevides & Peterson (2010),N,Reading skills future teachers,English,all,text passages,nonfiction,,1,1,242.0,,227,College undergraduates,Yes,"Nelson-Denny, Form G and H",,54934.0
20,Benton et al. (1984),N,Good vs poor readers,English,university students,text passages,nonfiction,,1,1,259.0,4.4,33,College undergraduates,Yes,Nelson-Denny,,8547.0
21,Berger (1966),N,Speed reading practice,English,pretest,test of history,nonfiction,3000,1,,230.0,,222,University students,Yes,,,51060.0
22,Birkmire (1986),N,Effect of purpose on reading,English,first reading,expository texts,nonfiction,?,3,?,230.0,,90,College undergraduates,Yes,,,20700.0
